marca,nome,preco_antigo,centavos_antigo,preco_atual,centavos_atual,avaliacao,quantidade_avaliacoes
NIKE,Tênis Nike Revolution 7 Masculino,399,99,279,99,4.7,(252)
OLYMPIKUS,"Tênis Olympikus Masculino Esportivo, Academia, Caminhada",229,90,112,65,,
NIKE,Tênis Nike Revolution 7 Masculino,399,99,299,99,4.8,(56)
VANS,Tênis Vans Old Knu - Todos Os Tamanhos - Confortavel -,399,50,199,25,,
OLYMPIKUS,Tênis Confortável Masculino Corrida Olympikus Diffuse 5,309,,31,,,
VANS,Tênis Vans Vr3 Ultrarange Unissex Marshmallow Confortável,399,55,179,91,,
ABUZZE,Tênis Para Treino Masculino De Corrida I Free-run,99,90,94,90,,
OLYMPIKUS,Tênis Esportivo Caminhada Corrida Casual Olympikus Giro,195,99,32,66,,
ABUZZE,Tênis Masculino Esportivo I Free-run Treino E Corrida Barato,100,,78,,,
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,279,99,188,09,4.8,(10396)
,Sapato Feminino Tênis Ortopédico Esporão Leve Confortável,109,25,36,42,,
,Tenis Casual Knu Skool Black White Preto E Branco Lançamento,267,90,141,98,,
MIZUNO,Tênis Mizuno Stratos 2 Masculino - Fitness - Original,799,90,599,92,,
HOKA,Tênis Hoka Clifton 9 Cinza/verde/azul Masculino,1.299,,1.199,,,
,Tênis Masculino E Feminino Preto Esportivo Treino,74,90,7,28,,
NIKE,Tênis Nike Revolution 7 Masculino,399,99,279,99,4.7,(252)
OLYMPIKUS,Tenis Masculino Corrida Olimpicos Treino Amortecedor Impacto,250,99,188,24,,
MIZUNO,Tênis Mizuno Space 4 Corrida Treino Academia Original,349,99,258,99,,
MIZUNO,Tênis Mizuno Wave Zest 2 Masculino Preto/vermelho Lançamento,449,,44,,,
,Tênis Masculino Casual Dia A Dia Caminhada Social Corrida,119,90,83,93,,
ASICS,Tênis Asics Masculino Original Gel-shinobi Corrida Caminhada,413,90,331,12,,
OLYMPIKUS,Tênis Masculino Olympikus Urbex Original,209,90,20,40,,
PUMA,Tenis Masculino Corrida Estiloso Style Puma Mesh Original,394,90,39,49,,
,Tenis Casual Air Kit Relogio Carteira Ortopédico Leve,109,90,84,62,,
ASICS,Tênis Asics Masculino Original Gel-excite 8 Corrida,383,90,318,63,,
,Tênis Masculino Esporte Caminhada Corrida Dia Dia Trabalho,95,,32,,,
ASICS,Tênis Asics Masculino Original Fuzeblast Corrida Caminhada,375,90,311,99,,
,Tênis Masculino Esportivo Caminhada Corrida Trabalho Moderno,95,,32,,,
,Tênis Masculino Original Preto Para Caminhada De Academia,114,80,68,88,4.9,(7)
,Tênis Masculino Esporte Caminhada Corrida Crossfit Trabalho,95,90,31,97,,
OLYMPIKUS,Tenis Olympikus Rua Masculino Preto,249,99,31,25,,
KOLOSH,Tênis Masculino  Kolosh Esportivo Slip On  H3463,210,,30,,,
OLYMPIKUS,"Tênis Olympikus Masculino Esportivo, Academia, Caminhada",229,90,112,65,,
OLYMPIKUS,Tênis Olympikus Dynamic Masculino Academia Confortável,269,90,33,74,,
,Tênis Masculino Corrida Academia Resistente Urbano Casual,78,90,60,75,,
,Tênis O2x Ultrabr,109,,10,,,
,Tênis Masculino Flex Corrida Academia Trabalho Cinza Urbano,78,90,60,75,,
,Tênis Masculino Preto Corrida Academia Trabalho Versátil,78,90,60,75,,
,Tênis Masculino Black Corrida Academia Trabalho Versátil,78,90,60,75,,
,Tênis Sport Para Academia Original Macio Confortavel Leve,110,50,104,83,,
PUMA,Tênis Puma Academia Promoção Lançamento Macio Treino Oferta,333,33,99,99,,
OLYMPIKUS,Tênis Olympikus Corre Grafeno 3 Unissex,799,90,79,99,,
SKECHERS,Tênis Skechers Arch Fit Ascension Cinza Masculino,429,,43,,,
,Tênis Masculino Neon Corrida Academia Trabalho Versátil,78,90,26,30,,
,Tênis Masculino Flex Corrida Academia Trabalho Versátil,78,90,60,75,,
,Tênis O2x Ultrabr Super Confortável,135,90,13,21,,
MIZUNO,Tênis De Corrida Mizuno Enigma - Branco - 101108108,399,05,379,90,,
MIZUNO,Tênis Masculino Mizuno Academia Corrida Treino Leve Barato,333,33,129,99,,
,Tênis O2x Ultrabr,109,90,36,63,,
MIZUNO,Tênis Masculino Mizuno Wave Creation 20 Branco Confortavel,330,,132,,,
ULTRABONE,Kit 3 Tenis Ultrabone Black Coleção Completa Muito Leve,249,90,179,92,5.0,(3)
ULTRABONE,Kit 2 Tenis Ultrabone Black Para Caminhada Crossfit Macio,199,90,129,93,,
MIZUNO,Tênis Masculino Mizuno Academia Corrida Treino Leve Barato,333,33,129,99,,
MIZUNO,Tênis De Corrida Mizuno Enigma - Branco - 101108108,399,05,379,90,,
,Tênis Olympus Masculino Feminino Academia Caminhada Levinho,78,99,67,14,4.6,(265)
MIZUNO,Tênis Masculino Mizuno Academia Corrida Treino Leve Barato,333,33,129,99,,
,Tênis O2x Ultrabr,109,90,36,63,,
